epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,39.589,1.18053,6.28347,1.13182,0,0,0,0,0.52337,4.91219,0.64414,4.08586e-05,4.08586e-05,4.08586e-05
47,40.5368,1.4026,7.15947,0.96278,0,0,0,0,0.52337,4.91219,0.64414,3.41797e-05,3.41797e-05,3.41797e-05
48,41.3235,0.76545,6.207,0.80359,0,0,0,0,0.52337,4.91219,0.64414,2.71708e-05,2.71708e-05,2.71708e-05
49,42.1758,1.1804,8.24598,0.98693,0,0,0,0,0.52337,4.91219,0.64414,1.98321e-05,1.98321e-05,1.98321e-05
50,42.978,1.14475,6.69521,0.97365,0,0,0,0,0.51242,4.82358,0.64053,1.21635e-05,1.21635e-05,1.21635e-05
1,1.92766,0.41601,62.6313,0.39552,0,0,0,0,0.55173,24.5094,0.59568,2.499e-05,2.499e-05,2.499e-05
2,3.57419,0.2889,60.9329,0.44896,0.00781,1,0.16583,0.03317,0.46971,24.5127,0.57297,5.54237e-05,5.54237e-05,5.54237e-05
3,5.20141,0.5227,62.1084,0.4677,0.00781,1,0.16583,0.03317,0.46971,24.5127,0.57297,8.25586e-05,8.25586e-05,8.25586e-05
4,6.82434,0.27884,61.0085,0.375,0.00781,1,0.16583,0.03317,0.46971,24.5127,0.57297,0.000106395,0.000106395,0.000106395
5,8.58528,0.29507,60.63,0.37498,0.00781,1,0.16583,0.03317,0.46971,24.5127,0.57297,0.000126933,0.000126933,0.000126933
6,10.3175,0.59816,45.641,0.50227,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000144171,0.000144171,0.000144171
7,11.9449,0.37662,61.1134,0.42098,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000158112,0.000158112,0.000158112
8,13.5932,0.31453,59.3371,0.38485,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000168753,0.000168753,0.000168753
9,15.3512,0.29016,59.3091,0.29121,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000176096,0.000176096,0.000176096
10,17.0765,0.19164,60.3096,0.26246,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.00018014,0.00018014,0.00018014
11,18.7707,0.32846,62.7862,0.27127,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000180886,0.000180886,0.000180886
12,20.4391,0.28674,60.5127,0.33839,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000178333,0.000178333,0.000178333
13,22.1428,0.36453,60.7343,0.34029,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.000172481,0.000172481,0.000172481
14,23.9281,0.40522,62.5069,0.33283,0.01042,1,0.05528,0.01658,0.45309,24.4261,0.57436,0.00016333,0.00016333,0.00016333
15,25.6682,0.34922,61.4354,0.26705,0.00926,1,0.06633,0.04643,0.28899,20.3516,0.36656,0.000150881,0.000150881,0.000150881
16,27.4266,0.51245,61.9971,0.30773,0.00926,1,0.06633,0.04643,0.28899,20.3516,0.36656,0.000135133,0.000135133,0.000135133
17,29.278,0.14696,59.4853,0.22719,0.00926,1,0.06633,0.04643,0.28899,20.3516,0.36656,0.000116087,0.000116087,0.000116087
18,31.0772,0.14026,59.1876,0.17693,0.00926,1,0.06633,0.04643,0.28899,20.3516,0.36656,9.37417e-05,9.37417e-05,9.37417e-05
19,32.9271,0.15931,59.2725,0.25145,0.00926,1,0.06633,0.04643,0.28899,20.3516,0.36656,6.80977e-05,6.80977e-05,6.80977e-05
20,34.6445,0,74.6242,0,0.00926,1,0.06633,0.04643,0.28899,20.3516,0.36656,3.91552e-05,3.91552e-05,3.91552e-05
1,6.198,0.69499,47.165,0.69743,0.00297,0.25,0.01055,0.00106,0.43274,25.6375,0.46016,9.996e-05,9.996e-05,9.996e-05
2,11.7372,0.52004,46.8652,0.48308,0.00305,0.25,0.00385,0.00231,0.31452,25.3029,0.39228,0.000197942,0.000197942,0.000197942
3,17.6352,0.39424,41.6647,0.48982,0.00305,0.25,0.00385,0.00231,0.31452,25.3029,0.39228,0.000285203,0.000285203,0.000285203
4,23.4365,0.30123,50.8628,0.358,0.00305,0.25,0.00385,0.00231,0.31452,25.3029,0.39228,0.000361743,0.000361743,0.000361743
5,29.6689,0.1093,65.3512,0.15441,0,0,0,0,0.32705,21.6351,0.35284,0.000427562,0.000427562,0.000427562
6,35.9403,0.38849,51.6457,0.41293,0,0,0,0,0.32705,21.6351,0.35284,0.000482661,0.000482661,0.000482661
7,42.223,0.38159,51.5543,0.40056,0,0,0,0,0.32705,21.6351,0.35284,0.000527039,0.000527039,0.000527039
8,48.0337,0.22919,60.3321,0.22808,0,0,0,0,0.32705,21.6351,0.35284,0.000544365,0.000544365,0.000544365
9,54.3657,0.41857,46.0109,0.46231,0,0,0,0,0.32705,21.6351,0.35284,0.000503132,0.000503132,0.000503132
10,60.9186,0.24883,55.7951,0.28244,0.00746,0.5,0.05337,0.03803,0.31935,26.0199,0.36378,0.000461898,0.000461898,0.000461898
11,67.3006,0.27076,55.4525,0.274,0.00746,0.5,0.05337,0.03803,0.31935,26.0199,0.36378,0.000420665,0.000420665,0.000420665
12,73.2221,0.368,56.2449,0.29898,0.00746,0.5,0.05337,0.03803,0.31935,26.0199,0.36378,0.000379431,0.000379431,0.000379431
13,79.3802,0.33571,55.3373,0.3071,0.00746,0.5,0.05337,0.03803,0.31935,26.0199,0.36378,0.000338198,0.000338198,0.000338198
